λobs,Intensity,Closest_Number,Normalized_Value,Count_Value,NIST line,Filename
203.37,none,none,none,none,none,none
212.59,none,none,none,none,none,none
222.53,100.0,222.55055530122505,12.350700474436024,21,none,2932
225.43,71.0,225.42178342661532,13.990560361287413,23,Ar,2932
231.6,none,none,none,none,none,none
235.63,8.0,235.6521940975886,2.2343564571528423,7,none,2933
237.53,17.0,237.55159519917044,7.502995056553104,13,Ni II,2933
239.44,none,none,none,none,none,none
241.27,none,none,none,none,none,none
241.59,57.0,241.6290209314872,16.283108690922028,20,Hg,2933
243.35,none,none,none,none,none,none
251.05,none,none,none,none,none,none
254.57,8.0,254.5472538559612,3.3950901767192683,1,GOLD,2933
264.9,none,none,none,none,none,none
303.24,100.0,303.2413513782529,1.4637377596892531,2,none,2934
335.06,none,none,none,none,none,none
342.05,86.0,342.0626012434165,21.14270325889923,7,none,2938
345.44,none,none,none,none,none,none
372.56,none,none,none,none,none,none
376.91,none,none,none,none,none,none
