λobs,Intensity,Closest_Number,Normalized_Value,Count_Value,NIST line,Filename
205.29,none,none,none,none,none,none
210.87,66.0,210.87259704196785,100.0,8,none,2914
211.42,49.0,211.42606518628745,92.21692035717076,9,none,2914
219.09,22.0,219.11532332167465,31.09644974661398,5,Ar,2914
223.1,100.0,223.10163096490385,34.33932751628746,9,Ar,2914
229.33,31.0,229.3535369375529,25.900546914024385,7,Ne,2914
232.57,49.0,232.57943354538764,28.520905634998435,44,Ni I,2915
232.99,16.0,232.987140107562,13.520981511548294,28,Ni I,2915
233.72,27.0,233.71344573894376,21.36295837340115,45,none,2915
234.53,100.0,234.5331237151973,69.17712354913958,51,Ar,2915
245.09,14.0,245.09112646476825,7.704134364949581,50,none,2915
247.63,none,none,none,none,none,none
252.47,16.0,252.4614942485504,10.616179754973352,15,GOLD,2915
282.09,56.0,282.0784284924785,10.536502614591342,24,Ne,2916
298.13,100.0,298.1604683274084,16.960963056930105,58,Ni I,2917
301.23,22.0,301.2232446058585,53.88945085683816,47,Ne,2917
301.93,3.0,301.9310802344969,15.6717901601799,34,none,2917
303.82,26.0,303.8183777042461,62.38385371721782,51,none,2917
304.48,1.0,304.5116863843023,5.232841075944955,21,Hg,2917
305.1,100.0,305.1032195904149,85.21017053207873,41,none,2917
305.81,17.0,305.7895473411582,55.84217715511946,50,Ne,2917
306.43,13.0,306.4205096558046,23.9159743312356,59,none,2917
308.11,4.0,308.1048804659102,15.463406958899451,37,none,2917
309.92,2.0,309.92415616736366,10.575139649944322,34,none,2917
310.17,76.0,310.1893672323955,97.744249023212,46,Ni I,2917
310.54,1.0,310.5719364528117,7.416043149932332,22,Ne,2917
312.96,1.0,312.9901951453425,2.607335487778726,3,none,2917
316.35,none,none,none,none,none,none
318.2,1.0,318.181560413212,5.286113567330964,17,Ni I,2917
318.62,1.0,318.62016095844774,8.36530016365296,13,Ar,2917
320.01,none,none,none,none,none,none
322.16,2.0,322.16371976382027,7.594387807616092,22,Ni I,2917
322.35,1.0,322.3497174264721,3.117254592231814,2,none,2917
323.32,25.0,323.32330465648084,64.68065542370117,54,none,2917
324.33,3.0,324.31763484660235,12.790759808744523,35,none,2917
325.1,1.0,325.08285157706086,5.336256671460276,12,Ni I,2917
327.13,1.0,327.1121611028255,3.3435701059110032,3,Ni I,2917
328.46,1.0,328.450331175075,3.902197535384297,21,none,2917
331.24,2.0,331.23536728208984,6.955147009373591,29,Hg,2917
331.57,3.0,331.56356454586575,12.675325628390194,34,Ni I,2917
332.01,1.0,332.03582464281493,9.024676426729696,29,GOLD,2917
332.21,5.0,332.2128665348952,12.31417359117431,37,none,2917
336.12,6.0,336.09705963816754,9.165014745183589,51,C,2917
336.54,none,none,none,none,none,none
336.95,29.0,336.94168795968085,59.79470646407778,51,none,2917
337.16,31.0,337.17102637774155,17.410630376332143,47,Hg,2917
338.01,100.0,338.0181984864883,57.64319651928389,60,none,2918
342.31,30.0,342.3111501126356,21.55287949958165,46,none,2918
343.95,2.0,343.9835436737053,4.390970922574565,3,none,2918
345.79,83.0,345.7852162865965,61.359585064126335,53,none,2918
346.93,5.0,346.9088909040784,4.359348210714366,3,none,2918
350.04,19.0,350.0463041931037,10.712992207405089,55,none,2918
352.8,5.0,352.77190569626856,3.0465521409286818,4,none,2918
354.41,none,none,none,none,none,none
355.12,4.0,355.16088284104626,3.2835583083198663,6,GOLD,2918
355.72,0.0,355.7398512222667,3.960431322913328,4,Ne,2918
356.57,68.0,356.57155743956343,46.30068560268102,51,none,2918
357.12,33.0,357.11926281728694,15.696791673407414,45,Ne,2918
357.57,3.0,357.5929050796816,6.70370505811448,18,none,2918
360.97,42.0,360.961835590095,24.46130593445719,46,C,2918
362.18,none,none,none,none,none,none
362.4,10.0,362.397066810316,5.719431323445132,41,none,2918
367.32,4.0,367.3230286762849,3.7661066933778646,20,Ar,2918
373.89,none,none,none,none,none,none
376.21,none,none,none,none,none,none
377.54,29.0,377.54417438219895,13.558724384472995,40,none,2919
378.35,38.0,378.3522636646672,17.66910179316351,45,Ni I,2919
379.2,27.0,379.18856136936216,8.080137515470911,59,none,2919
380.7,73.0,380.70371822302775,30.368274478734875,51,none,2919
381.12,3.0,381.150082717209,26.33835918257581,1,none,2919
381.88,none,none,none,none,none,none
383.17,18.0,383.17441237187,10.03792480201572,26,Ni I,2919
385.83,100.0,385.8341512838618,41.78087584304348,50,Ni I,2919
386.83,10.0,386.875212281228,4.938049091996708,3,Ne,2919
387.65,8.0,387.6689693628911,32.233501478817104,1,C,2919
388.96,34.0,388.960780083126,16.443336979922982,43,Ni I,2919
394.85,none,none,none,none,none,none
395.75,4.0,395.73133789867126,7.651365057707049,3,none,2919
402.78,none,none,none,none,none,none
412.22,none,none,none,none,none,none
413.17,44.0,413.1780770711083,5.147469330408468,29,Ar,2920
415.67,none,none,none,none,none,none
415.78,none,none,none,none,none,none
420.05,46.0,420.0652434732404,5.789734299761422,27,Ar,2920
420.21,42.0,420.189913995891,6.514727056687794,22,Ar,2920
423.14,28.0,423.1383228596018,3.7886087731859943,1,none,2920
425.97,39.0,425.95990395229217,8.813882706229814,18,none,2920
427.95,85.0,427.95195114183264,13.879611456524891,41,none,2920
428.31,12.0,428.2677324083605,17.60797643519593,1,none,2920
428.82,58.0,428.8231003392032,9.651083715615098,36,none,2920
429.59,19.0,429.6179975817121,4.118170083689427,3,none,2920
430.25,20.0,430.23276931411135,10.859519399631507,4,none,2920
431.34,9.0,431.36539559630864,23.09330027265868,1,none,2920
432.31,14.0,432.28675948661726,3.8386678028568495,3,none,2920
433.14,49.0,433.1435825371965,16.522439264468005,27,none,2920
435.48,12.0,435.4654493806477,6.0052259670024455,8,none,2920
436.96,9.0,436.950898520618,10.226500566584605,14,none,2920
440.16,100.0,440.1634892095625,12.063057319549486,42,Ni I,2920
441.09,33.0,441.1020201681529,6.351935136753256,17,none,2920
444.94,37.0,444.9615227073272,19.11379881113224,13,Ar,2920
451.79,47.0,451.7935823803757,5.118830101202809,41,none,2921
454.66,27.0,454.6430466338472,27.441398052937377,2,none,2921
456.11,11.0,456.1116179209032,10.210886046049817,12,none,2921
456.75,23.0,456.7526192169572,5.047847342276065,18,none,2921
459.98,26.0,459.9986446038591,15.719228048213132,4,Ar,2921
466.71,none,none,none,none,none,none
467.42,47.0,467.3930632735031,5.736711437652035,2,none,2921
467.55,39.0,467.5267176352359,6.9015772689848776,42,none,2921
468.19,none,none,none,none,none,none
470.1,56.0,470.09481734776335,6.888081988459869,35,none,2921
471.39,100.0,471.3926205542821,11.673651637103411,46,none,2921
473.19,45.0,473.1861907034432,8.401479793451488,25,none,2921
474.99,none,none,none,none,none,none
476.33,69.0,476.3262610596759,9.847531059502202,37,none,2921
477.28,13.0,477.2331126477629,62.86895958451099,1,none,2921
478.59,33.0,478.5702289564504,7.232653248305958,29,none,2921
479.72,9.0,479.722742497055,4.382932712150825,3,none,2921
480.72,15.0,480.7135470270642,6.651946750130546,33,none,2922
481.62,none,none,none,none,none,none
483.91,6.0,483.9288071277587,2.8507831962275776,1,none,2922
484.3,none,none,none,none,none,none
485.27,none,none,none,none,none,none
487.11,none,none,none,none,none,none
487.38,6.0,487.39910515413146,4.910041191305701,8,C,2922
491.18,4.0,491.184392380929,5.14182553255489,8,GOLD,2922
491.4,7.0,491.3715904111384,80.87329801206491,1,none,2922
491.87,11.0,491.8524420682231,4.817442377273648,30,none,2922
492.11,1.0,492.0887282255519,30.53949774323689,2,none,2922
492.46,6.0,492.43708778660175,8.02292651837415,12,none,2922
493.73,28.0,493.7296512298664,7.189983555657836,44,none,2922
495.32,4.0,495.341975352902,14.513581607467218,2,none,2922
497.14,7.0,497.1212765354752,39.5953411517234,1,none,2922
498.02,44.0,498.0381844646087,14.967921417533775,50,none,2922
498.42,15.0,498.42489648775467,6.279379403245574,36,none,2922
499.66,2.0,499.7036022996412,55.814235727947306,1,none,2922
503.55,53.0,503.5558421101634,17.193304937557674,52,none,2922
503.9,11.0,503.89572750323,3.427221883233141,14,none,2922
504.86,12.0,504.8658324167205,3.5626708080090954,14,none,2922
505.15,9.0,505.1571996804576,32.95860559881572,2,none,2922
505.62,8.0,505.6202797428628,4.313515110280466,12,none,2922
508.07,100.0,508.07039352721705,30.741010606019792,54,none,2922
508.41,51.0,508.4018579364245,14.753022284232175,54,Ni I,2922
508.87,5.0,508.8730200040397,11.70693139283056,1,none,2922
509.44,3.0,509.4492641870603,3.49069652304363,1,none,2922
509.98,33.0,509.97835886926856,12.333061431546874,47,none,2922
510.46,2.0,510.4336235883835,55.64843075504602,1,none,2922
511.53,38.0,511.5336256707123,13.304373942157468,49,Ni I,2922
512.9,14.0,512.8918560058348,10.639441027381295,4,none,2922
516.84,60.0,516.8462430825326,9.721207941508233,28,none,2923
517.65,none,none,none,none,none,none
518.46,26.0,518.44874907754,4.160820339233527,2,none,2923
523.81,none,none,none,none,none,none
525.97,7.0,525.9862025149972,23.806925635108293,1,none,2923
532.07,none,none,none,none,none,none
541.1,12.0,541.1122378636298,5.84047815155872,6,Ne,2923
545.34,none,none,none,none,none,none
546.22,29.0,546.2053482393937,10.694156514685222,4,none,2923
547.66,100.0,547.6569226843798,11.682880795628476,39,none,2923
549.9,16.0,549.9353857445602,57.935660920986464,1,none,2923
550.98,none,550.9811914327665,51.93827279708664,1,none,2924
564.7,none,564.7090798226772,19.881148268822447,2,none,2924
568.09,none,568.1169590966743,47.91924905747466,1,none,2924
571.8,none,571.8025817452913,7.796281975191473,9,none,2924
581.09,none,none,none,none,none,none
600.69,none,none,none,none,none,none
608.768,none,608.743958872107,4.911842671927193,1,none,2925
611.08,none,611.0764315445729,10.066434113915696,1,none,2925
616.52,none,616.5498467957436,20.948261515922205,1,none,2925
617.62,none,617.6086506113237,4.066574850990381,32,GOLD,2925
620.46,none,none,none,none,none,none
622.38,none,622.4026700601444,95.90129480386857,1,GOLD,2925
623.0,none,none,none,none,none,none
631.45,none,none,none,none,none,none
642.12,none,none,none,none,none,none
650.77,none,none,none,none,none,none
663.08,none,none,none,none,none,none
693.18,none,693.1748475250239,5.692831223021309,16,none,2927
703.21,none,none,none,none,none,none
712.2,none,712.200176795996,13.603594741681835,53,none,2929
718.16,none,718.1702407751537,34.49822020577992,1,none,2929
723.61,none,none,none,none,none,none
738.23,none,738.1806288267775,26.02407525882923,1,none,2930
740.96,none,740.9606443712182,3.7738844791750976,2,none,2930
752.53,none,752.5269244363033,4.306626450000781,20,none,2930
755.58,none,755.56540854212,4.761630036449422,30,Ni I,2930
761.7,none,761.7056869942468,10.83326229221607,50,Ni I,2930
771.55,none,none,none,none,none,none
771.54,none,none,none,none,none,none
